20204,U,관광특구,3001491,이태원 관광특구,CS300016,안경,579617857,2362,312337670,267280187,35032190,73827942,72006355,70192225,61278958,148039865,119240322,0,9220904,89082272,243999202,227672930,9642549,418129277,156698499,4193724,251073468,194697746,32138296,72922277,19802265,1409,953,317,253,322,271,246,524,429,0,60,512,927,851,12,1488,814,24,917,684,107,437,133
20211,U,관광특구,3001491,이태원 관광특구,CS100002,중식음식점,2020426449,49691,1322499708,697926741,150706272,231542187,280085823,265806033,394359393,399946651,297980090,12472298,0,323694445,268302675,1005396311,410560720,982071000,882819350,24761414,837632080,484321520,258321932,186203608,73649797,34212,15479,3764,7323,6764,7213,9148,8885,6594,130,0,13044,7491,22321,6705,22999,23939,732,19830,11848,6642,5808,2073
20241,U,관광특구,3001491,이태원 관광특구,CS300015,가방,1010020253,4876,721912225,288108028,52196545,98320265,109995654,104188213,357211548,206102472,82005556,0,4678025,180088710,536274832,287030128,1948558,314449911,683637948,1657967,20784272,29327497,287272017,478685623,180360482,3118,1758,582,217,541,718,1060,1158,600,0,23,850,2639,1329,35,1755,3016,48,689,752,1019,1342,919
20241,U,관광특구,3001491,이태원 관광특구,CS300011,일반의류,16027252329,110871,10126774173,5900478156,1554388623,1611757358,2086685823,2245423050,2628519319,3608811442,2291666714,1323978,262048214,3653180555,7049781622,5023533904,37384056,5668600306,9332514158,45936381,3510274199,3813644635,2877007358,2501315567,2252936324,68686,42185,10049,12646,13725,14687,17579,24787,17398,13,3734,27922,45841,33011,350,30079,77941,2975,32062,36995,16686,12132,7169
20241,U,관광특구,3001491,이태원 관광특구,CS300001,슈퍼마켓,3187111695,255085,2087681585,1099430110,416434188,347671717,374808933,374930877,573835870,615490166,483939944,315267031,236342748,389096124,548348984,1141796610,556260198,1974393959,1040343662,12318454,671026874,940194262,374948101,530056478,486193453,160828,94257,32216,29419,29381,30112,39700,49400,44857,45498,19754,28193,39294,75570,46776,172013,75239,800,63569,87238,32319,33905,29420
20241,U,관광특구,3001491,이태원 관광특구,CS200006,일반의원,341000404,8895,297720338,43280066,77344317,57713212,83898205,12887786,65876818,43280066,0,0,97317153,94448484,90627935,58606832,0,194863178,146137226,2559980,63853317,102220583,72873567,39313615,60179342,8289,606,1535,1986,1797,1104,1867,606,0,0,1965,2383,3482,1065,0,4720,4175,68,1604,2364,1386,1342,2131
20191,U,관광특구,3001491,이태원 관광특구,CS100006,패스트푸드점,2572828135,192145,1357336966,1215491169,221890379,260191560,248835936,270069705,356349386,632503683,582987486,475312847,99138748,321964476,404330158,851256972,420824934,1538624893,965282506,17456054,1231019624,763300868,242183803,165676817,84270232,105443,86702,18726,21027,19001,20603,26086,43739,42963,41305,12634,24390,29548,52343,31925,122384,67788,1641,89317,58600,20089,13546,6981
20191,U,관광특구,3001491,이태원 관광특구,CS300010,반찬가게,187986363,5740,112992392,74993971,18410757,20056643,19711372,20641692,34171928,36117812,38876159,570714,10052859,33940609,48861837,66829216,27731128,118050480,54969883,495944,32547763,71916170,43019398,19538555,5502535,3483,2257,567,669,602,610,1035,1173,1084,31,198,974,1505,2075,957,3699,1775,24,1478,2231,1036,538,167
20192,U,관광특구,3001491,이태원 관광특구,CS100001,한식음식점,8947299956,268946,5164877632,3782422324,879487004,827461960,941211495,1047320369,1469396804,2041420564,1741001760,2498497309,487808216,1010982965,500452149,2160154381,2289404936,4460204975,3356699234,46610306,3456238906,2449393368,955662399,677132550,231866683,153667,115279,28753,24223,27047,30087,43557,61229,54050,93426,12855,43110,23364,47618,48573,147319,108432,1784,119822,78509,27223,21076,7349
20192,U,관광특구,3001491,이태원 관광특구,CS100010,커피-음료,4384958559,448861,2697692103,1687266456,478814425,494797106,509213177,549814693,665052702,1007678674,679587782,180174605,236101908,1027805093,1124653677,1357346380,458876896,1589023811,2562378831,38703915,1795124808,1182526382,590110791,412520264,132416482,280397,168464,50315,51977,52486,56762,68857,97191,71273,21269,26405,95909,119739,137524,48015,173216,263537,5325,202839,120616,54274,40970,12732
